id,league_short_name,league_full_name
312,QMJHL,Québec Major Junior Hockey League
313,MJAHL,Maritime Hockey League
314,QJAAAHL,Ligue de Hockey Junior AAA du Québec
315,CAJAAHL,Chaudiére-Appalaches Junior AA HL
316,IsJHL,Island Junior Hockey League
317,LHC,Ligue de Hockey de la Capitale
318,LHJSLSJ,Ligue de Hockey Junior AA Saguenay-Lac-St-Jean
319,LHMJAA,Metropolitaine Junior AA Hockey League
320,NSJHL,Nova Scotia Junior Hockey League
321,SJJHL,St. John's Junior Hockey League
322,NBJHL,New Brunswick Junior Hockey League
323,NSJCHL,Nova Scotia Junior C Hockey League
324,PEIJCHL,Prince Edward Island Minor Junior Hockey League
325,NBPEIMMHL,NB/PEI Major Midget Hockey League
326,NLMMHL,Newfoundland & Labrador Major Midget Hockey League
327,NSMMHL,Nova Scotia Major Midget Hockey League
328,QMAAA,Ligue de hockey Midget AAA du Québec
329,QMAA,QMAA
330,QMEAA,QMEAA
331,NBBAAAHL,New Brunswick Bantam AAA Hockey League
332,NLBAAAHL,NLBAAAHL
333,NSMBHL,Nova Scotia Major Bantam Hockey League
334,PEIBAAA,PEI Bantam AAA League
335,QBAAA,Quebec Bantam AAA Hockey League
336,World Cup 2016,World Cup
337,WC,World Championship
338,WC D1A,World Championship Division I Group A
339,WC D1B,World Championship Division I Group B
340,WC D2A,WC D2A
341,WC D2B,WC D2B
342,WC D3,WC D3
343,WC D3A,WC D3A
344,WC D3B,WC D3B
345,WC D3Q,World Championship Division III Qualification
346,WC D4,WC D4
347,Olympics,Olympic Games
348,OGQ,Olympic Games Qualification
349,U20 WJC,U20 World Junior Championship
350,U20 WJC D1A,WJC-20 D1A
351,U20 WJC D1B,WJC-20 D1B
352,U20 WJC D2A,WJC-20 D2A
353,U20 WJC D2B,WJC-20 D2B
354,U20 WJC D3,WJC-20 D3
355,U18 WJC,U18 World Championship
356,U18 WJC D1A,WJC-18 D1A
357,U18 WJC D1B,WJC-18 D1B
358,U18 WJC D2A,WJC-18 D2A
359,U18 WJC D2B,WJC-18 D2B
360,U18 WJC D3A,WJC-18 D3A
361,U18 WJC D3B,WJC-18 D3B
362,Hlinka Gretzky Cup,Hlinka Gretzky Cup
363,YOG,Youth Olympic Games
364,U17 WHC,World Under-17 Hockey Challenge
365,CCOA,Challenge Cup of Asia
366,CCOA D1,Challenge Cup of Asia Division I
367,CCOA U20,Challenge Cup of Asia U18
368,CCOA U18,Challenge Cup of Asia U20
369,Champions HL,Champions Hockey League
370,Continental Cup,Continental Cup
371,SDHL,Svenska damhockeyligan
372,AllEttan,AllEttan (W)
373,Division 1,Division 1 (W)
374,Division 2,Division 2 (W)
375,Stålbucklan,Stålbucklan (W)
376,U18 Region,U18 Region (W)
377,Liiga,Liiga (W)
378,Mestis,Mestis (W)
379,Suomi-sarja,Suomi-sarja (W)
380,Denmark,Denmark (W)
381,Norway,Kvinner Elite (W)
382,Norway2,Norway2 (W)
383,SWHL A,Swiss Women's League
384,SWHL B,Swiss Women's Hockey League B
385,Frauen-Bundesliga,Frauen-Bundesliga
386,Germany2,Germany2 (W)
387,Germany3,Germany3 (W)
388,Germany4,Germany4 (W)
389,EWHL,Elite Women's Hockey League
390,DEBL,Dameneishockey Bundesliga
391,DEBL2,Dameneishockey Bundesliga II
392,France,France (W)
393,WNIHL Elite,Women's National Ice Hockey League
394,WNIHL Premier,Women's National Ice Hockey League
395,WNIHL Division 1,Women's National Ice Hockey League
396,WNIHL U16,Women's National Ice Hockey League U16
397,Russia,Zhenskaya Hockey League
398,Extraliga,Extraliga žen
399,Extraliga,1. liga
400,Latvia,Latvia (W)
401,Poland,Polska Liga Hokeja Kobiet (PLHK)
402,Bulgaria,Bulgaria (W)
403,Italy,IHL Women
404,Spain,Spain (W)
405,Turkey,Turkey (W)
406,AWIHL,Australian Women's Ice Hockey League
407,NWHL,National Women's Hockey League
408,CWHL,Canadian Women's Hockey League
409,MAWHL,Mid-Atlantic Women's HL
410,ACAC,Alberta Colleges Athletic Conference
411,USports,USports
412,NCAA,NCAA Division I
413,NCAA III,NCAA Division III
414,QCHL,QCHL (W)
415,CAHS,CAHS (W)
416,USHS,USHS (W)
417,JWHL,Junior Women's Hockey League
418,PWHL,Provincial Women's Hockey League
419,WC,Women's World Championship
420,WC D1A,WC D1A (W)
421,WC D1B,WC D1B (W)
422,WC D2A,WC D2A (W)
423,WC D2B,WC D2B (W)
424,WC D3,WC D3 (W)
425,WCQ,WCQ (W)
426,EC,European Women Championships
427,Olympics,Olympic Games (Women)
428,U18 WJC,U18 Women's World Championship
429,U18 WJC D1A,WJC-18 D1A (W)
430,U18 WJC D1B,WJC-18 D1B (W)
431,U18 WJC D2A,WJC-18 D2A (W)
432,U18 WJC D2B,WJC-18 D2B (W)
433,YOG,Youth Olympic Games (Women)
434,CCOA,Women's Challenge Cup of Asia
435,CCOA D1,Women's Challenge Cup of Asia Division I
