iter	Passed	Remaining
1054	12176	10906
1055	12187	10894
1056	12199	10883
1057	12210	10871
1058	12222	10860
1059	12233	10848
1060	12244	10836
1061	12255	10824
1062	12267	10813
1063	12279	10801
1064	12290	10790
1065	12301	10778
1066	12312	10766
1067	12324	10755
1068	12338	10745
1069	12350	10734
1070	12364	10724
1071	12377	10714
1072	12390	10704
1073	12403	10694
1074	12417	10684
1075	12430	10674
1076	12443	10663
1077	12456	10653
1078	12469	10643
1079	12482	10633
1080	12494	10621
1081	12504	10609
1082	12516	10598
1083	12528	10587
1084	12539	10574
1085	12550	10562
1086	12563	10552
1087	12575	10541
1088	12587	10530
1089	12599	10518
1090	12610	10506
1091	12621	10495
1092	12633	10483
1093	12644	10471
1094	12656	10460
1095	12667	10448
1096	12678	10436
1097	12690	10425
1098	12701	10413
1099	12712	10401
1100	12724	10389
1101	12735	10378
1102	12747	10366
1103	12759	10355
1104	12771	10344
1105	12782	10332
1106	12793	10320
1107	12804	10308
1108	12816	10297
1109	12827	10285
1110	12840	10274
1111	12857	10267
1112	12874	10260
1113	12889	10251
1114	12904	10242
1115	12921	10235
1116	12936	10226
1117	12950	10216
1118	12963	10206
1119	12979	10198
1120	12996	10190
1121	13012	10182
1122	13026	10173
1123	13039	10162
1124	13055	10154
1125	13068	10143
1126	13081	10133
1127	13094	10122
1128	13107	10111
1129	13119	10100
1130	13132	10090
1131	13144	10078
1132	13156	10067
1133	13169	10056
1134	13180	10044
1135	13192	10033
1136	13204	10022
1137	13215	10010
1138	13226	9998
1139	13237	9986
1140	13248	9974
1141	13259	9962
1142	13271	9950
1143	13282	9938
1144	13294	9927
1145	13304	9914
1146	13316	9902
1147	13327	9890
1148	13338	9879
1149	13349	9866
1150	13360	9854
1151	13371	9843
1152	13383	9831
1153	13395	9820
1154	13407	9808
1155	13418	9796
1156	13431	9786
1157	13446	9777
1158	13459	9766
1159	13476	9758
1160	13491	9749
1161	13504	9738
1162	13515	9726
1163	13526	9714
1164	13537	9703
1165	13549	9691
1166	13560	9679
1167	13571	9667
1168	13583	9655
1169	13594	9644
1170	13606	9632
1171	13618	9621
1172	13629	9609
1173	13640	9597
1174	13652	9585
1175	13665	9575
1176	13677	9563
1177	13691	9553
1178	13706	9544
1179	13718	9533
1180	13729	9521
1181	13742	9510
1182	13756	9500
1183	13768	9488
1184	13779	9476
1185	13793	9466
1186	13806	9456
1187	13817	9444
1188	13830	9433
1189	13841	9421
1190	13853	9410
1191	13864	9398
1192	13876	9386
1193	13887	9374
1194	13899	9363
1195	13910	9351
1196	13921	9339
1197	13932	9327
1198	13944	9315
1199	13955	9303
1200	13967	9292
1201	13977	9279
1202	13990	9268
1203	14001	9256
1204	14012	9244
1205	14023	9232
1206	14036	9222
1207	14051	9212
1208	14064	9201
1209	14076	9190
1210	14097	9184
1211	14110	9174
1212	14124	9163
1213	14142	9156
1214	14155	9145
1215	14166	9133
1216	14178	9122
1217	14194	9113
1218	14206	9101
1219	14217	9089
1220	14229	9078
1221	14245	9069
1222	14257	9058
1223	14269	9046
1224	14281	9035
1225	14296	9025
1226	14307	9013
1227	14318	9001
1228	14330	8989
1229	14342	8978
1230	14353	8966
1231	14364	8954
1232	14375	8942
1233	14392	8934
1234	14404	8922
1235	14414	8909
1236	14429	8900
1237	14444	8890
1238	14455	8878
1239	14466	8866
1240	14477	8854
1241	14488	8842
1242	14499	8830
1243	14510	8818
1244	14521	8806
1245	14533	8794
1246	14544	8782
1247	14555	8770
1248	14567	8758
1249	14578	8747
1250	14590	8735
1251	14601	8723
1252	14613	8712
1253	14626	8701
1254	14637	8688
1255	14648	8676
1256	14659	8664
1257	14670	8652
1258	14681	8641
1259	14693	8629
1260	14703	8617
1261	14715	8605
1262	14726	8593
1263	14737	8581
1264	14750	8570
1265	14761	8558
1266	14772	8546
1267	14783	8534
1268	14794	8522
1269	14805	8510
1270	14817	8498
1271	14828	8486
1272	14839	8474
1273	14850	8462
1274	14862	8451
1275	14873	8439
1276	14884	8426
1277	14895	8414
1278	14906	8403
1279	14917	8391
1280	14929	8379
1281	14941	8367
1282	14952	8356
1283	14963	8344
1284	14975	8332
1285	14987	8321
1286	15000	8310
1287	15013	8299
1288	15026	8288
1289	15038	8277
1290	15050	8265
1291	15062	8253
1292	15073	8241
1293	15088	8232
1294	15101	8221
1295	15112	8209
1296	15123	8197
1297	15135	8185
1298	15146	8173
1299	15158	8162
1300	15170	8150
1301	15181	8138
1302	15192	8127
1303	15203	8114
1304	15214	8102
1305	15225	8090
1306	15237	8079
1307	15248	8067
1308	15259	8055
1309	15270	8043
1310	15281	8031
1311	15294	8020
1312	15306	8008
1313	15320	7998
1314	15334	7988
1315	15346	7976
1316	15357	7964
1317	15368	7952
1318	15379	7940
1319	15390	7928
1320	15401	7916
1321	15413	7904
1322	15427	7894
1323	15441	7883
1324	15456	7874
1325	15472	7864
1326	15482	7852
1327	15493	7839
1328	15503	7827
1329	15515	7815
1330	15526	7804
1331	15538	7792
1332	15549	7780
1333	15559	7768
1334	15571	7756
1335	15582	7744
1336	15594	7733
1337	15607	7721
1338	15618	7710
1339	15629	7698
1340	15640	7686
1341	15651	7674
1342	15663	7662
1343	15674	7650
1344	15685	7638
1345	15697	7627
1346	15707	7614
1347	15720	7603
1348	15731	7591
1349	15742	7579
1350	15752	7567
1351	15763	7555
1352	15774	7543
1353	15786	7531
1354	15795	7519
1355	15806	7507
1356	15818	7495
1357	15829	7483
1358	15840	7471
1359	15851	7459
1360	15862	7447
1361	15873	7435
1362	15885	7424
1363	15896	7412
1364	15907	7400
1365	15918	7388
1366	15929	7376
1367	15940	7364
1368	15952	7352
1369	15963	7340
1370	15974	7329
1371	15985	7316
1372	15996	7305
1373	16007	7293
1374	16020	7281
1375	16031	7270
1376	16043	7258
1377	16054	7246
1378	16065	7234
1379	16077	7223
1380	16088	7211
1381	16100	7199
1382	16111	7187
1383	16122	7175
1384	16133	7164
1385	16146	7152
1386	16157	7140
1387	16168	7129
1388	16180	7117
1389	16191	7105
1390	16203	7094
1391	16214	7082
1392	16226	7070
1393	16238	7059
1394	16249	7047
1395	16260	7035
1396	16272	7023
1397	16283	7012
1398	16295	7000
1399	16306	6988
1400	16319	6977
1401	16330	6965
1402	16341	6953
1403	16352	6941
1404	16363	6929
1405	16374	6917
1406	16386	6906
1407	16398	6894
1408	16409	6882
1409	16421	6871
1410	16432	6859
1411	16443	6847
1412	16455	6835
1413	16466	6824
1414	16477	6812
1415	16488	6800
1416	16502	6789
1417	16515	6778
1418	16527	6767
1419	16538	6755
1420	16549	6743
1421	16560	6731
1422	16571	6719
1423	16583	6708
1424	16594	6696
1425	16606	6684
1426	16617	6672
1427	16630	6661
1428	16645	6651
1429	16659	6640
1430	16672	6629
1431	16685	6618
1432	16698	6607
1433	16713	6596
1434	16725	6585
1435	16738	6574
1436	16754	6564
1437	16770	6554
1438	16783	6543
1439	16797	6532
1440	16813	6522
1441	16827	6511
1442	16838	6499
1443	16850	6488
1444	16861	6476
1445	16873	6464
1446	16885	6453
1447	16896	6441
1448	16908	6429
1449	16919	6417
1450	16932	6406
1451	16943	6394
1452	16955	6383
1453	16966	6371
1454	16978	6359
1455	16990	6348
1456	17004	6337
1457	17015	6325
1458	17028	6314
1459	17039	6302
1460	17051	6290
1461	17062	6278
1462	17075	6267
1463	17087	6256
1464	17099	6244
1465	17111	6232
1466	17123	6221
1467	17134	6209
1468	17145	6197
1469	17156	6185
1470	17168	6173
1471	17179	6162
1472	17191	6150
1473	17202	6138
1474	17213	6126
1475	17225	6115
1476	17236	6103
1477	17247	6091
1478	17258	6079
1479	17269	6067
1480	17281	6055
1481	17292	6044
1482	17304	6032
1483	17316	6021
1484	17327	6009
1485	17340	5998
1486	17355	5987
1487	17367	5976
1488	17381	5965
1489	17394	5953
1490	17408	5942
1491	17421	5931
1492	17434	5920
1493	17448	5909
1494	17461	5898
1495	17474	5887
1496	17487	5875
1497	17500	5864
1498	17513	5853
1499	17521	5840
1500	17534	5829
1501	17545	5817
1502	17557	5805
1503	17568	5793
1504	17579	5781
1505	17590	5770
1506	17600	5757
1507	17612	5746
1508	17624	5734
1509	17636	5723
1510	17646	5710
1511	17658	5699
1512	17669	5687
1513	17681	5675
1514	17693	5664
1515	17704	5652
1516	17715	5640
1517	17726	5628
1518	17738	5616
1519	17750	5605
1520	17760	5593
1521	17772	5581
1522	17783	5569
1523	17795	5558
1524	17806	5546
1525	17817	5534
1526	17829	5522
1527	17840	5510
1528	17851	5499
1529	17863	5487
1530	17875	5475
1531	17887	5464
1532	17898	5452
1533	17909	5440
1534	17921	5429
1535	17932	5417
1536	17944	5405
1537	17956	5394
1538	17968	5382
1539	17979	5370
1540	17990	5358
1541	18002	5347
1542	18015	5335
1543	18027	5324
1544	18040	5312
1545	18052	5301
1546	18065	5290
1547	18078	5278
1548	18091	5267
1549	18104	5256
1550	18118	5245
1551	18137	5235
1552	18149	5223
1553	18160	5212
1554	18171	5200
1555	18184	5188
1556	18196	5177
1557	18207	5165
1558	18219	5153
1559	18230	5141
1560	18241	5130
1561	18253	5118
1562	18264	5106
1563	18276	5094
1564	18287	5083
1565	18298	5071
1566	18310	5059
1567	18321	5047
1568	18332	5035
1569	18344	5024
1570	18356	5012
1571	18368	5001
1572	18379	4989
1573	18391	4977
1574	18401	4965
1575	18413	4953
1576	18425	4942
1577	18436	4930
1578	18447	4918
1579	18459	4906
1580	18470	4895
1581	18481	4883
1582	18493	4871
1583	18505	4859
1584	18517	4848
1585	18528	4836
1586	18540	4824
1587	18551	4813
1588	18562	4801
1589	18573	4789
1590	18585	4777
1591	18596	4765
1592	18607	4754
1593	18620	4742
1594	18632	4731
1595	18643	4719
1596	18654	4707
1597	18667	4695
1598	18678	4684
1599	18690	4672
1600	18703	4661
1601	18717	4650
1602	18731	4638
1603	18744	4627
1604	18757	4616
1605	18770	4604
1606	18783	4593
1607	18796	4582
1608	18810	4571
1609	18823	4559
1610	18836	4548
1611	18849	4536
1612	18862	4525
1613	18873	4513
1614	18885	4502
1615	18897	4490
1616	18908	4478
1617	18920	4466
1618	18931	4455
1619	18942	4443
1620	18954	4431
1621	18965	4419
1622	18976	4408
1623	18988	4396
1624	18999	4384
1625	19011	4372
1626	19023	4361
1627	19035	4349
1628	19046	4337
1629	19058	4326
1630	19070	4314
1631	19082	4302
1632	19093	4290
1633	19105	4279
1634	19117	4267
1635	19129	4256
1636	19140	4244
1637	19153	4232
1638	19164	4221
1639	19175	4209
1640	19187	4197
1641	19199	4186
1642	19210	4174
1643	19222	4162
1644	19233	4150
1645	19245	4139
1646	19256	4127
1647	19268	4115
1648	19279	4103
1649	19291	4092
1650	19303	4080
1651	19318	4069
1652	19333	4058
1653	19344	4046
1654	19356	4034
1655	19374	4024
1656	19386	4012
1657	19397	4001
1658	19408	3989
1659	19419	3977
1660	19431	3965
1661	19442	3954
1662	19454	3942
1663	19465	3930
1664	19477	3918
1665	19487	3906
1666	19499	3895
1667	19510	3883
1668	19521	3871
1669	19532	3859
1670	19544	3848
